ADDRESS_ID,PRIORITY,TRAFFIC_CONTROL_SEGMENT,CHARGER_ID,COUPLER_NUM
28066,99,,Charger1,1
24020,10,,Charger2,1
28040,10,,Charger3,1
28051,10,,Charger4,1
