ID,REAL_ID,LOCATION_ID_R,LOCATION_ID_L
AGV01,RGV01,RGV01,RGV02
AGV02,RGV02,RGV03,RGV04
AGV03,RGV03,RGV05,RGV06
AGV04,RGV04,RGV07,RGV08
AGV05,RGV05,RGV09,RGV10
AGV06,RGV06,RGV11,RGV12
